
2024/03/17 (12:58:39) | ===> btop++ v.1.3.2
2024/03/17 (12:58:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/26 (09:02:33) | ===> btop++ v.1.3.2
2024/03/26 (09:02:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/26 (11:48:30) | ===> btop++ v.1.3.2
2024/03/26 (11:48:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/28 (07:27:15) | ===> btop++ v.1.3.2
2024/03/28 (07:27:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/30 (21:33:55) | ===> btop++ v.1.3.2
2024/03/30 (21:33:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/02 (14:26:08) | ===> btop++ v.1.3.2
2024/04/02 (14:26:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/02 (17:41:42) | ===> btop++ v.1.3.2
2024/04/02 (17:41:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/03 (14:02:38) | ===> btop++ v.1.3.2
2024/04/03 (14:02:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/04/03 (14:04:59) | ERROR: Stall in Runner thread, restarting!
2024/04/03 (14:13:25) | ERROR: Stall in Runner thread, restarting!
2024/04/03 (14:31:10) | ERROR: Stall in Runner thread, restarting!

2024/04/03 (16:04:23) | ===> btop++ v.1.3.2
2024/04/03 (16:04:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/03 (16:42:59) | ===> btop++ v.1.3.2
2024/04/03 (16:42:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/02 (07:31:41) | ===> btop++ v.1.3.2
2024/05/02 (07:31:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/03 (13:48:39) | ===> btop++ v.1.3.2
2024/05/03 (13:48:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/03 (17:19:14) | ===> btop++ v.1.3.2
2024/05/03 (17:19:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/31 (08:32:59) | ===> btop++ v.1.3.2
2024/05/31 (08:32:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/31 (08:55:15) | ===> btop++ v.1.3.2
2024/05/31 (08:55:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/01 (22:38:40) | ===> btop++ v.1.3.2
2024/06/01 (22:38:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/05 (23:49:48) | ===> btop++ v.1.3.2
2024/06/05 (23:49:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/22 (01:51:32) | ===> btop++ v.1.3.2
2024/06/22 (01:51:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
